GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,phh_wointernet,TimeFrame,GeoVintage,Source,Location
Census Tract,53033023300,WA,53033023300,53033023300,4.22,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023401,WA,53033023401,53033023401,4.18,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023403,WA,53033023403,53033023403,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023404,WA,53033023404,53033023404,2.86,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023500,WA,53033023500,53033023500,3.21,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023601,WA,53033023601,53033023601,2.95,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023603,WA,53033023603,53033023603,2.11,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023604,WA,53033023604,53033023604,1.95,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023701,WA,53033023701,53033023701,0.94,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023702,WA,53033023702,53033023702,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023801,WA,53033023801,53033023801,1.52,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023805,WA,53033023805,53033023805,1.2,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023806,WA,53033023806,53033023806,1.79,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023807,WA,53033023807,53033023807,3.56,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023808,WA,53033023808,53033023808,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023901,WA,53033023901,53033023901,4.48,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033023902,WA,53033023902,53033023902,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024001,WA,53033024001,53033024001,3.7,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024002,WA,53033024002,53033024002,0.75,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024100,WA,53033024100,53033024100,0.81,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024200,WA,53033024200,53033024200,3.13,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024301,WA,53033024301,53033024301,10.08,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024302,WA,53033024302,53033024302,2.46,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024400,WA,53033024400,53033024400,0.75,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024500,WA,53033024500,53033024500,0.47,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024601,WA,53033024601,53033024601,0.49,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024602,WA,53033024602,53033024602,2.44,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024701,WA,53033024701,53033024701,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024703,WA,53033024703,53033024703,2.02,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024704,WA,53033024704,53033024704,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024800,WA,53033024800,53033024800,1.35,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024901,WA,53033024901,53033024901,0.85,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024902,WA,53033024902,53033024902,0.75,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024904,WA,53033024904,53033024904,0,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033024905,WA,53033024905,53033024905,0,2017-2021,2020,Census,"King (County, 2020)"
