,census tract,income z-score,computers z-score,internet z-score,composite index value
268,53033025001,0.686303954,0.225620576,0.456727404,107790701.22433
269,53033025005,0.650510249,0.59880273,0.376002358,107790701.23298
270,53033025006,1.221510608,0.824676139,1.003574488,107790701.23791
271,53033025007,0.724099127,0.428579291,0.899413139,107790701.23791
272,53033025008,1.580099298,0.274723491,0.566096821,107790701.24069
273,53033025101,-0.347128732,-0.288323268,0.295277313,107790701.42411
274,53033025103,0.023282587,0.166697078,0.480163708,107790701.43022
275,53033025104,0.164153391,0.104500052,0.430687067,107790701.43232
276,53033025201,-0.402681121,0.441673402,0.469747573,107790701.62908
277,53033025202,-0.317711799,-0.857917083,-1.488485794,107790701.62467
278,53033025302,-1.562881239,-2.96934243,-1.730660931,107790701.82060
279,53033025303,-0.825246986,0.772299697,1.107735837,107790701.83751
280,53033025304,-0.047094633,0.513691011,0.571304888,107790701.83951
281,53033025401,-1.122488339,-0.019893999,-2.004084473,107790702.02816
282,53033025402,-0.638388952,-1.195090433,-0.603114325,107790702.03163
283,53033025500,-1.01024319,-0.897199415,-1.014551655,107790702.22983
284,53033025601,-0.912147958,0.719923254,0.810875992,107790702.44231
285,53033025602,1.028438711,0.68391445,0.665050103,107790702.44792
286,53033025702,-0.093873142,0.133961801,0.073934446,107790702.64657
287,53033025703,-0.978592059,-1.254013931,-0.097931781,107790702.64364
288,53033025704,-0.689379854,-0.579667231,-0.347919019,107790702.64712
289,53033025803,-0.860156322,-0.812087696,-0.329690783,107790702.84756
290,53033025804,-0.681769619,-2.219704594,-1.845238415,107790702.84401
291,53033025805,-0.908796662,-0.095185136,-0.110951949,107790702.85342
292,53033025806,-0.478899836,0.467861623,-0.522389279,107790702.85664
293,53033026001,-0.23888652,-1.178722795,-0.722899877,107790703.24971
294,53033026003,-1.394129512,0.631538007,0.139035289,107790703.25686
295,53033026004,-0.106952506,-0.952849385,-0.410415829,107790703.25717
296,53033026101,-1.087811733,-0.147561579,-1.176001746,107790703.45242
297,53033026102,-1.196147036,-0.497829039,-0.910390305,107790703.45406
298,53033026200,-0.985411016,-0.802267113,-1.183813847,107790703.65250
299,53033026300,-0.990158686,0.097952997,-0.918202406,107790703.85811
300,53033026400,-1.099680907,-0.147561579,-0.522389279,107790704.06144
301,53033026500,-1.291658977,-2.128045819,-2.280112048,107790704.25671
302,53033026600,-0.528005634,-0.088638081,0.623385563,107790704.47156
303,53033026700,-0.185731239,-1.198363961,0.329129751,107790704.67265
304,53033026801,-1.118345765,-1.103431658,-0.360939188,107790704.87483
305,53033026802,-0.982269176,0.166697078,0.506204045,107790704.88149
306,53033027000,-0.438567917,0.025935388,0.368190257,107790705.28446
307,53033027100,-1.555852826,-2.072395849,-2.949348718,107790705.47444
308,53033027200,-1.189630627,-0.330879128,-1.293183264,107790705.68534
309,53033027300,-0.578926717,1.001446634,1.14419231,107790705.89749
310,53033027400,-0.793595856,-1.997104712,-1.858258584,107790706.08811
311,53033027500,-0.82350152,-0.913567053,-0.506765077,107790706.29625
312,53033027600,-0.705787241,0.389296959,-0.16042859,107790706.50310
313,53033027701,-0.728059397,0.20597941,-1.561398738,107790706.70511
314,53033027702,-0.230485007,0.153602967,-0.399999694,107790706.71041
315,53033027800,0.355968551,0.222347048,0.448915303,107790706.91266
316,53033027901,-0.140744742,0.238714686,0.771815486,107790707.11762
317,53033027902,-1.163215897,-0.301417379,0.107786884,107790707.11513
318,53033028000,-0.934978663,-1.486434396,-0.834873327,107790707.31045
319,53033028100,-1.190189176,-0.877558249,-1.845238415,107790707.51237
320,53033028200,-1.052064573,-0.628770146,-0.413019862,107790707.71932
321,53033028300,-0.294927639,0.58570862,-0.379167424,107790707.92665
322,53033028402,-1.045315435,0.759205586,-1.337451837,107790708.13085
323,53033028403,-1.25616782,-3.20830995,-2.53270332,107790708.12196
324,53033028500,-0.722241175,-2.095310542,-0.764564416,107790708.32605
325,53033028600,-0.039973128,-0.442179069,-0.556241718,107790708.53447
326,53033028700,0.080114985,0.300911712,0.284861178,107790708.74119
327,53033028801,-1.070938887,-2.147686985,-2.678529209,107790708.93314
328,53033028802,-1.116274477,-0.972490551,-0.298442378,107790708.94230
329,53033028901,-0.802276644,-0.733523032,-0.254173805,107790709.14474
330,53033028902,-1.465810014,-0.196664494,-0.28542221,107790709.14645
331,53033029001,-0.754125034,-0.144288051,0.14684739,107790709.35010
332,53033029003,-1.15921296,0.241988214,0.842124397,107790709.35554
333,53033029004,-1.678268228,-0.484734929,-0.993719385,107790709.35131
334,53033029101,-0.625100131,0.317279351,-0.199489096,107790709.55385
335,53033029102,-0.809514513,0.3467411,-0.524993313,107790709.55490
336,53033029203,-0.968328715,-4.439156354,-2.55353559,107790709.74601
337,53033029205,-0.95089732,-1.646837252,-0.96247098,107790709.75902
338,53033029206,-1.713456838,-2.864589545,-2.295736251,107790709.75432
339,53033029207,-0.175886806,0.461314568,1.14419231,107790709.77323
340,53033029208,-1.126607641,0.883599638,1.14419231,107790709.77419
341,53033029304,-0.301397503,0.791940863,0.667654136,107790709.96983
342,53033029305,-0.375079473,0.611896841,0.524432281,107790709.97106
343,53033029306,-0.069180605,0.111047107,-0.110951949,107790709.97140
344,53033029307,0.247353973,0.726470309,0.805667924,107790709.97719
345,53033029308,-0.461142621,-1.188543378,-1.264538893,107790709.96969
346,53033029309,-0.774744815,0.340194044,-0.053663207,107790709.97665
347,53033029403,-0.407405517,0.657726228,0.847332464,107790710.17093
348,53033029405,-0.0463499,0.857411416,0.201532098,107790710.17482
349,53033029406,-0.034364362,0.916334914,0.553076652,107790710.17771
350,53033029407,-1.253631075,0.742837948,0.318713616,107790710.17644
351,53033029408,-1.147064511,-1.735222499,-0.558845751,107790710.17187
