GeoID_Description,GeoID_Name,SitsinState,GeoID,GeoID_Formatted,mhhinc,TimeFrame,GeoVintage,Source,Location
Census Tract,53033009500,WA,53033009500,53033009500,131412,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009600,WA,53033009600,53033009600,142930,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009701,WA,53033009701,53033009701,113750,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009702,WA,53033009702,53033009702,145461,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009801,WA,53033009801,53033009801,144688,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009802,WA,53033009802,53033009802,113370,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033009900,WA,53033009900,53033009900,86663,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010001,WA,53033010001,53033010001,61326,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010002,WA,53033010002,53033010002,81887,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010102,WA,53033010102,53033010102,139407,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010200,WA,53033010200,53033010200,146250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010301,WA,53033010301,53033010301,106250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010302,WA,53033010302,53033010302,110538,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010401,WA,53033010401,53033010401,106071,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010402,WA,53033010402,53033010402,100255,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010501,WA,53033010501,53033010501,103409,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010502,WA,53033010502,53033010502,111769,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010601,WA,53033010601,53033010601,140133,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010602,WA,53033010602,53033010602,94470,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010701,WA,53033010701,53033010701,96638,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010702,WA,53033010702,53033010702,69233,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010800,WA,53033010800,53033010800,109375,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033010900,WA,53033010900,53033010900,56902,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011001,WA,53033011001,53033011001,47813,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011002,WA,53033011002,53033011002,52418,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011101,WA,53033011101,53033011101,81250,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011102,WA,53033011102,53033011102,113553,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011200,WA,53033011200,53033011200,61935,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011300,WA,53033011300,53033011300,85125,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011401,WA,53033011401,53033011401,96625,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011402,WA,53033011402,53033011402,77656,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011500,WA,53033011500,53033011500,99719,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011601,WA,53033011601,53033011601,146519,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011602,WA,53033011602,53033011602,116842,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011700,WA,53033011700,53033011700,82697,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011801,WA,53033011801,53033011801,95938,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011802,WA,53033011802,53033011802,67143,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011901,WA,53033011901,53033011901,133498,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033011902,WA,53033011902,53033011902,115917,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033012000,WA,53033012000,53033012000,114159,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033012100,WA,53033012100,53033012100,167813,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020100,WA,53033020100,53033020100,100385,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020200,WA,53033020200,53033020200,88269,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020301,WA,53033020301,53033020301,65850,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020302,WA,53033020302,53033020302,82625,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020401,WA,53033020401,53033020401,88589,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020402,WA,53033020402,53033020402,95500,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020500,WA,53033020500,53033020500,105637,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020600,WA,53033020600,53033020600,129571,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020700,WA,53033020700,53033020700,88290,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020800,WA,53033020800,53033020800,136080,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033020900,WA,53033020900,53033020900,104375,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021000,WA,53033021000,53033021000,101828,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021100,WA,53033021100,53033021100,107882,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021300,WA,53033021300,53033021300,97105,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021400,WA,53033021400,53033021400,151667,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021500,WA,53033021500,53033021500,160000,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021600,WA,53033021600,53033021600,112277,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021701,WA,53033021701,53033021701,148875,2017-2021,2020,Census,"King (County, 2020)"
Census Tract,53033021702,WA,53033021702,53033021702,74531,2017-2021,2020,Census,"King (County, 2020)"
